iter	Passed	Remaining
0	69	69332
1	75	37700
2	82	27494
3	87	21784
4	93	18645
5	98	16365
6	107	15298
7	115	14290
8	121	13397
9	126	12507
10	131	11791
11	136	11253
12	141	10738
13	145	10282
14	151	9957
15	156	9614
16	162	9410
17	169	9236
18	176	9114
19	185	9075
20	190	8868
21	196	8717
22	208	8877
23	220	8975
24	226	8831
25	236	8875
26	246	8877
27	258	8967
28	269	9017
29	274	8862
30	281	8785
31	287	8705
32	292	8556
33	309	8794
34	319	8810
35	325	8717
36	334	8701
37	341	8646
38	350	8640
39	368	8855
40	380	8899
41	396	9046
42	410	9135
43	417	9062
44	428	9094
45	445	9235
46	454	9214
47	461	9151
48	474	9201
49	488	9281
50	496	9234
51	509	9281
52	523	9352
53	529	9270
54	536	9224
55	543	9164
56	552	9142
57	558	9072
58	565	9021
59	571	8958
60	584	9003
61	615	9304
62	625	9298
63	633	9263
64	639	9200
65	647	9168
66	654	9111
67	660	9050
68	667	9008
69	674	8961
70	683	8946
71	689	8890
72	697	8855
73	703	8807
74	716	8833
75	724	8803
76	734	8805
77	740	8748
78	749	8738
79	756	8694
80	766	8692
81	772	8649
82	781	8638
83	787	8588
84	798	8594
85	808	8588
86	819	8601
87	830	8608
88	836	8561
89	847	8572
90	853	8527
91	864	8530
92	870	8487
93	879	8479
94	885	8433
95	895	8428
96	900	8386
97	911	8385
98	917	8349
99	935	8415
100	944	8406
101	955	8413
102	965	8408
103	977	8423
104	1016	8664
105	1032	8710
106	1046	8736
107	1072	8860
108	1087	8886
109	1102	8921
110	1123	8995
111	1130	8965
112	1143	8972
113	1153	8966
114	1161	8942
115	1212	9237
116	1227	9263
117	1244	9299
118	1259	9323
119	1271	9325
120	1295	9411
121	1307	9406
122	1318	9402
123	1339	9461
124	1359	9513
125	1370	9506
126	1376	9463
127	1390	9469
128	1400	9454
129	1419	9500
130	1435	9519
131	1442	9483
132	1463	9542
133	1469	9496
134	1487	9531
135	1521	9667
136	1536	9675
137	1553	9705
138	1557	9647
139	1582	9718
140	1617	9852
141	1633	9869
142	1639	9826
143	1650	9812
144	1664	9816
145	1670	9772
146	1682	9760
147	1685	9701
148	1694	9679
149	1709	9689
150	1723	9691
151	1734	9675
152	1747	9675
153	1761	9676
154	1773	9667
155	1784	9653
156	1795	9641
157	1811	9652
158	1825	9657
159	1838	9653
160	1852	9656
161	1861	9630
162	1888	9699
163	1897	9670
164	1907	9655
165	1925	9672
166	1938	9671
167	1955	9682
168	1973	9705
169	1985	9694
170	1996	9676
171	2001	9633
172	2033	9722
173	2048	9722
174	2058	9705
175	2066	9674
176	2073	9640
177	2082	9615
178	2113	9694
179	2128	9696
180	2158	9768
181	2167	9741
182	2181	9740
183	2193	9727
184	2241	9874
185	2252	9858
186	2264	9844
187	2290	9891
188	2301	9875
189	2329	9931
190	2340	9912
191	2348	9884
192	2356	9852
193	2365	9829
194	2372	9795
195	2395	9824
196	2409	9819
197	2418	9797
198	2449	9857
199	2458	9835
200	2470	9818
201	2504	9894
202	2523	9905
203	2539	9908
204	2553	9901
205	2569	9905
206	2585	9906
207	2599	9898
208	2619	9913
209	2639	9929
210	2653	9922
211	2679	9959
212	2689	9935
213	2702	9927
214	2717	9923
215	2729	9908
216	2750	9925
217	2762	9910
218	2771	9884
219	2784	9873
220	2796	9857
221	2808	9842
222	2837	9885
223	2854	9888
224	2861	9856
225	2875	9847
226	2885	9826
227	2893	9798
228	2909	9796
229	2919	9773
230	2925	9739
231	2935	9716
232	2942	9686
233	2951	9662
234	2961	9641
235	2978	9643
236	2989	9624
237	3000	9605
238	3007	9576
239	3023	9573
240	3038	9570
241	3057	9577
242	3069	9562
243	3075	9529
244	3082	9499
245	3090	9471
246	3102	9457
247	3112	9437
248	3120	9412
249	3129	9387
250	3137	9363
251	3144	9333
252	3150	9302
253	3159	9278
254	3166	9249
255	3175	9228
256	3184	9206
257	3194	9188
258	3204	9167
259	3214	9149
260	3227	9137
261	3236	9117
262	3248	9104
263	3256	9078
264	3270	9070
265	3280	9053
266	3294	9045
267	3313	9050
268	3324	9034
269	3335	9017
270	3347	9004
271	3359	8992
272	3381	9004
273	3396	8999
274	3410	8992
275	3443	9032
276	3455	9018
277	3464	8998
278	3476	8982
279	3488	8969
280	3511	8984
281	3523	8971
282	3542	8974
283	3552	8955
284	3555	8920
285	3560	8890
286	3571	8872
287	3581	8853
288	3591	8836
289	3598	8810
290	3612	8800
291	3624	8787
292	3642	8788
293	3646	8755
294	3659	8746
295	3670	8729
296	3677	8703
297	3689	8692
298	3708	8695
299	3723	8688
300	3733	8669
301	3743	8651
302	3766	8664
303	3777	8647
304	3789	8634
305	3806	8632
306	3820	8623
307	3831	8608
308	3841	8590
309	3849	8568
310	3857	8545
311	3867	8528
312	3907	8576
313	3918	8560
314	3926	8539
315	3937	8523
316	3946	8501
317	3954	8480
318	3964	8463
319	3971	8440
320	3982	8424
321	3991	8404
322	4004	8392
323	4016	8380
324	4038	8387
325	4051	8376
326	4065	8367
327	4071	8341
328	4092	8346
329	4105	8335
330	4113	8314
331	4138	8327
332	4149	8311
333	4159	8294
334	4171	8280
335	4179	8259
336	4193	8249
337	4203	8232
338	4215	8219
339	4228	8209
340	4239	8193
341	4255	8187
342	4266	8172
343	4273	8149
344	4285	8136
345	4298	8125
346	4312	8115
347	4321	8095
348	4331	8080
349	4346	8072
350	4357	8056
351	4370	8045
352	4380	8028
353	4396	8023
354	4405	8003
355	4415	7988
356	4426	7972
357	4435	7954
358	4453	7951
359	4469	7945
360	4499	7965
361	4530	7985
362	4549	7983
363	4561	7969
364	4566	7944
365	4582	7938
366	4619	7968
367	4630	7952
368	4648	7949
369	4661	7937
370	4667	7913
371	4677	7897
372	4688	7880
373	4694	7857
374	4701	7835
375	4710	7817
376	4718	7797
377	4732	7787
378	4744	7773
379	4751	7752
