iter	RMSE
0	3.048990254
1	3.044416634
2	3.040240191
3	3.037115549
4	3.033852498
5	3.031440259
6	3.029159336
7	3.02707006
8	3.02561227
9	3.02417352
10	3.022909451
11	3.0218256
12	3.021045186
13	3.01969748
14	3.018486976
15	3.017620961
16	3.016303583
17	3.015435482
18	3.014810639
19	3.013706694
20	3.012691013
21	3.012085739
22	3.011499646
23	3.011065223
24	3.010400866
25	3.009761109
26	3.008966788
27	3.008614434
28	3.007889652
29	3.007390717
30	3.006716136
31	3.006461635
32	3.006087832
33	3.005792108
34	3.004787788
35	3.004300775
36	3.003775484
37	3.003081769
38	3.002756339
39	3.002322711
40	3.00162528
41	3.001073384
42	3.000702809
43	2.999898153
44	2.999175643
45	2.998679077
46	2.998038221
47	2.997762103
48	2.997508989
49	2.99733199
50	2.996358837
51	2.996138695
52	2.995751487
53	2.995409559
54	2.995030491
55	2.994867607
56	2.994203702
57	2.993728807
58	2.993409505
59	2.992497761
60	2.992140495
61	2.991029405
62	2.990630118
63	2.990196261
64	2.989990309
65	2.989204427
66	2.989016506
67	2.988243392
68	2.987948468
69	2.987729089
70	2.987402819
71	2.987001783
72	2.986812321
73	2.986574179
74	2.986103781
75	2.985763463
76	2.985369632
77	2.985095527
78	2.984878334
79	2.984528598
80	2.984155802
81	2.983951051
82	2.983709971
83	2.983269265
84	2.983167402
85	2.983017568
86	2.982777348
87	2.982486722
88	2.982172691
89	2.981900291
90	2.981653516
91	2.981513642
92	2.981395697
93	2.981259849
94	2.980997557
95	2.980541141
96	2.98017286
97	2.9799278
98	2.979535994
99	2.97929799
100	2.978780055
101	2.978616546
102	2.978288402
103	2.977993051
104	2.977822378
105	2.977571507
106	2.977424021
107	2.97650382
108	2.976308474
109	2.976032178
110	2.975814821
111	2.97449917
112	2.974313325
113	2.97413907
114	2.973832063
115	2.973408495
116	2.9724167
117	2.972095005
118	2.971924577
119	2.971465087
120	2.971223283
121	2.971108643
122	2.970672482
123	2.970326987
124	2.970078665
125	2.969843337
126	2.969321433
127	2.968994013
128	2.968676902
129	2.96849176
130	2.968233409
131	2.96799846
132	2.967623696
133	2.967390166
134	2.967053148
135	2.966932858
136	2.966746149
137	2.966575155
138	2.966226804
139	2.965995845
140	2.965582198
141	2.964746573
142	2.964478139
143	2.964137615
144	2.963967072
145	2.963582845
146	2.963439351
147	2.962432767
148	2.962052026
149	2.961862091
150	2.961189008
151	2.960793431
152	2.960619542
153	2.960470521
154	2.960077914
155	2.959758902
156	2.959510437
157	2.958451755
158	2.95829509
159	2.9581113
160	2.957738918
161	2.957546116
162	2.957101182
163	2.956863978
164	2.956611609
165	2.956243547
166	2.955983331
167	2.955858031
168	2.955650214
169	2.954705356
170	2.954452366
171	2.954049293
172	2.953749187
173	2.953446435
174	2.953109559
175	2.952631937
176	2.952430751
177	2.952188778
178	2.952026341
179	2.951804193
180	2.951258154
181	2.951111708
182	2.950818893
183	2.950693074
184	2.950465268
185	2.950079392
186	2.949185506
187	2.948893245
188	2.948541941
189	2.947739224
190	2.947456149
191	2.947237089
192	2.946904133
193	2.946433795
194	2.946225926
195	2.945996955
196	2.945866345
197	2.945231233
198	2.945028284
199	2.944828518
200	2.944572287
201	2.944272018
202	2.943464585
203	2.942963055
204	2.942629883
205	2.942506172
206	2.941382137
207	2.941163425
208	2.940966333
209	2.940153858
210	2.93929111
211	2.939106295
212	2.938734866
213	2.937833076
214	2.937059887
215	2.936595907
216	2.936420643
217	2.936254602
218	2.936033117
219	2.935892544
220	2.935696032
221	2.935369622
222	2.935071313
223	2.934433499
224	2.934076565
225	2.933874994
226	2.93372538
227	2.933575465
228	2.933102296
229	2.932856463
230	2.931882108
231	2.931528582
232	2.931153702
233	2.931006376
234	2.930732001
235	2.930262264
236	2.930114536
237	2.929837378
238	2.929614633
239	2.928899961
240	2.928696108
241	2.928489831
242	2.928292849
243	2.928111814
244	2.927906202
245	2.927845101
246	2.927557607
247	2.926318903
248	2.925411181
249	2.925261506
250	2.924475859
251	2.924223978
252	2.92406331
253	2.92369796
254	2.923507726
255	2.923354426
256	2.922500103
257	2.921583522
258	2.921273842
259	2.921016324
260	2.920651092
261	2.920500831
262	2.920366836
263	2.920242547
264	2.92007989
265	2.919926283
266	2.919584461
267	2.919457233
268	2.919184352
269	2.918893525
270	2.918004105
271	2.917756615
272	2.917624645
273	2.917279835
274	2.917105683
275	2.916955389
276	2.916606769
277	2.915897512
278	2.915669533
279	2.915457754
280	2.915069313
281	2.914811631
282	2.914575006
283	2.914516111
284	2.914241709
285	2.913910569
286	2.913502487
287	2.91314785
288	2.912979663
289	2.9126343
290	2.911769045
291	2.911557276
292	2.911182039
293	2.911079202
294	2.910811216
295	2.910548614
296	2.91042254
297	2.909456513
298	2.909265826
299	2.908881165
300	2.908750776
301	2.908450182
302	2.90828399
303	2.907582498
304	2.906804361
305	2.906669365
306	2.906419075
307	2.906189814
308	2.905978037
309	2.905677305
310	2.905433693
311	2.903981308
312	2.903345166
313	2.902969251
314	2.902910424
315	2.902574609
316	2.90235803
317	2.901593528
318	2.901065706
319	2.900873806
320	2.900666282
321	2.90044064
322	2.900340539
323	2.899984861
324	2.899786641
325	2.899459297
326	2.899261011
327	2.898486684
328	2.898094119
329	2.897952603
330	2.897628841
331	2.897320376
332	2.897153074
333	2.897021897
334	2.896903039
335	2.896210551
336	2.896039432
337	2.895761116
338	2.895575409
339	2.895018973
340	2.894848605
341	2.894426185
342	2.893991679
343	2.893765585
344	2.893471334
345	2.893251554
346	2.893064746
347	2.893010008
348	2.892960978
349	2.892897591
350	2.892771016
351	2.892660739
352	2.892529491
353	2.892227928
354	2.891452656
355	2.891256936
356	2.89096816
357	2.890161559
358	2.889909136
359	2.889762677
360	2.889529659
361	2.88808677
362	2.887932852
363	2.887829747
364	2.886827724
365	2.886624788
366	2.886469556
367	2.885944929
368	2.885803284
369	2.885635803
370	2.88541299
371	2.885193424
372	2.885045097
373	2.884822226
374	2.884162179
375	2.883920778
376	2.883337145
377	2.882715056
378	2.882404187
379	2.881295957
380	2.881047515
381	2.880579647
382	2.880348109
383	2.879963741
384	2.879715423
385	2.8793594
386	2.87883314
387	2.878746042
388	2.878417516
389	2.878308154
390	2.877974758
391	2.877867013
392	2.877611912
393	2.877441443
394	2.877403383
395	2.877024596
396	2.876916357
397	2.876517347
398	2.876182094
399	2.876005079
400	2.875909033
401	2.875715192
402	2.875603518
403	2.875318284
404	2.875226362
405	2.874586367
406	2.874246444
407	2.87393521
408	2.873737037
409	2.873632763
410	2.873393326
411	2.873272459
412	2.87308216
413	2.872835353
414	2.872563843
415	2.872379762
416	2.871921705
417	2.871733054
418	2.871440019
419	2.870774035
420	2.870599071
421	2.870420737
422	2.87028934
423	2.870090387
424	2.869581095
425	2.869282659
426	2.869167736
427	2.868514042
428	2.868463552
429	2.868428095
430	2.868323983
431	2.867965857
432	2.867800663
433	2.86725676
434	2.866868603
435	2.8662235
436	2.866048856
437	2.865387666
438	2.865160426
439	2.865007795
440	2.864741325
441	2.864110066
442	2.863984933
443	2.863808949
444	2.86370439
445	2.86286142
446	2.861822941
447	2.861416621
448	2.860169015
449	2.859854816
450	2.859746632
451	2.859603735
452	2.85952856
453	2.858797292
454	2.858598244
455	2.858445663
456	2.858212775
457	2.858155403
458	2.857858064
459	2.85725727
460	2.857070636
461	2.85698594
462	2.856779187
463	2.856600424
464	2.856318432
465	2.856220455
466	2.85608161
467	2.855485791
468	2.855392161
469	2.85525861
470	2.854878006
471	2.854758686
472	2.85457507
473	2.854268044
474	2.853878441
475	2.85372883
476	2.853563159
477	2.852551994
478	2.852394246
479	2.852313867
480	2.852122373
481	2.851572704
482	2.850916432
483	2.85073325
484	2.85057503
485	2.850516908
486	2.850245269
487	2.849548759
488	2.84920416
489	2.848959589
490	2.848804582
491	2.848587442
492	2.848491966
493	2.848377852
494	2.84814106
495	2.847732499
496	2.847146771
