iter	Passed	Remaining
0	36	36737
1	79	39880
2	113	37681
3	147	36824
4	175	34919
5	236	39227
6	283	40264
7	330	41020
8	373	41124
9	404	40092
10	464	41783
11	499	41091
12	548	41627
13	587	41392
14	623	40974
15	662	40755
16	700	40485
17	735	40151
18	784	40508
19	824	40412
20	861	40164
21	894	39751
22	932	39611
23	962	39161
24	994	38787
25	1042	39045
26	1078	38860
27	1116	38760
28	1165	39038
29	1202	38888
30	1245	38922
31	1274	38550
32	1314	38524
33	1361	38686
34	1396	38506
35	1439	38547
36	1502	39114
37	1552	39313
38	1585	39072
39	1614	38747
40	1660	38839
41	1698	38742
42	1733	38589
43	1765	38360
44	1806	38345
45	1839	38157
46	1879	38119
47	1922	38120
48	1970	38236
49	2011	38215
50	2051	38170
51	2092	38152
52	2136	38174
53	2170	38030
54	2218	38118
55	2264	38169
56	2326	38496
57	2398	38955
58	2440	38920
59	2479	38847
60	2507	38595
61	2537	38391
62	2560	38087
63	2589	37868
64	2617	37657
65	2649	37494
66	2671	37203
67	2698	36991
68	2723	36741
69	2751	36551
70	2776	36326
71	2812	36251
72	2840	36067
73	2875	35976
74	2901	35785
75	2932	35648
76	2956	35442
77	2984	35283
78	3021	35223
79	3081	35438
80	3149	35727
81	3209	35935
82	3267	36095
83	3301	35996
84	3328	35829
85	3356	35672
86	3384	35517
87	3419	35436
88	3472	35540
89	3509	35486
90	3540	35365
91	3579	35327
92	3613	35240
93	3640	35089
94	3665	34921
95	3706	34905
96	3742	34843
97	3773	34732
98	3812	34695
99	3847	34626
100	3888	34607
101	3937	34662
102	4025	35056
103	4137	35647
104	4222	35992
105	4291	36196
106	4398	36706
107	4501	37178
108	4549	37190
109	4592	37153
110	4635	37124
111	4673	37055
112	4724	37084
113	4757	36976
114	4807	36999
115	4845	36924
116	4880	36831
117	4920	36781
118	4966	36769
119	5016	36790
120	5073	36857
121	5139	36990
122	5199	37071
123	5260	37160
124	5300	37105
125	5334	37005
126	5375	36954
127	5435	37027
128	5536	37383
129	5581	37355
130	5649	37478
131	5769	37942
132	5828	37996
133	5919	38257
134	5957	38169
135	6022	38257
136	6069	38233
137	6242	38993
138	6387	39567
139	6568	40349
140	6818	41541
141	7081	42788
142	7390	44290
143	7461	44354
144	7511	44289
145	7585	44367
146	7635	44305
147	7711	44392
148	7869	44946
149	7913	44843
150	7962	44769
151	8012	44702
152	8065	44648
153	8130	44665
154	8182	44608
155	8373	45304
156	8416	45190
157	8456	45067
158	8510	45016
159	8545	44862
160	8579	44711
161	8612	44552
162	8640	44367
163	8667	44182
164	8697	44012
165	8727	43847
166	8776	43777
167	8819	43679
168	8866	43600
169	8918	43543
170	9034	43799
171	9136	43981
172	9186	43914
173	9276	44038
174	9601	45266
175	9749	45646
176	9840	45753
177	9890	45672
178	9998	45858
179	10087	45954
180	10159	45970
181	10208	45880
182	10277	45882
183	10416	46195
184	10468	46116
185	10576	46288
186	10641	46263
187	10725	46323
188	10958	47024
189	11070	47195
190	11142	47194
191	11310	47596
192	11419	47748
193	11561	48035
194	11708	48336
195	11761	48246
196	11853	48318
197	11981	48531
198	12030	48424
199	12073	48294
200	12136	48243
201	12206	48221
202	12290	48254
203	12552	48980
204	12625	48961
205	12677	48865
206	12737	48798
207	12786	48687
208	12817	48510
209	12859	48376
210	12908	48270
211	12963	48185
212	13006	48055
213	13051	47936
214	13082	47764
215	13106	47571
216	13132	47387
217	13168	47237
218	13198	47068
219	13226	46893
220	13260	46742
221	13296	46597
222	13325	46430
223	13354	46265
224	13395	46140
225	13439	46026
226	13470	45872
227	13494	45691
228	13527	45544
229	13555	45381
230	13586	45230
231	13618	45082
232	13650	44936
233	13681	44786
234	13709	44628
235	13736	44469
236	13760	44301
237	13785	44135
238	13813	43983
239	13838	43821
240	13864	43665
241	13893	43518
242	13922	43371
243	13950	43222
244	13983	43092
245	14015	42958
246	14062	42870
247	14091	42728
248	14165	42725
249	14249	42747
250	14303	42681
251	14476	42969
252	14513	42851
253	14562	42771
254	14594	42639
255	14633	42527
256	14669	42410
257	14704	42288
258	14741	42174
259	14793	42104
260	14826	41980
261	14855	41844
262	14878	41693
263	14904	41551
264	14930	41410
265	14954	41265
266	14979	41123
267	15005	40985
268	15027	40836
269	15049	40688
270	15073	40547
271	15097	40409
272	15119	40263
273	15142	40121
274	15167	39987
275	15189	39844
276	15211	39702
277	15235	39568
278	15263	39444
279	15289	39316
280	15315	39189
281	15340	39058
282	15363	38924
283	15383	38784
284	15407	38655
285	15431	38523
286	15458	38404
287	15482	38276
288	15505	38145
289	15537	38040
290	15565	37924
291	15588	37796
292	15614	37678
293	15647	37574
294	15677	37465
295	15705	37354
296	15740	37258
297	15776	37164
298	15816	37082
299	15852	36989
300	15879	36875
301	15910	36772
302	15940	36668
303	15975	36575
304	16011	36485
305	16039	36377
306	16067	36270
307	16102	36179
308	16132	36076
309	16167	35986
310	16196	35882
311	16221	35769
312	16251	35669
313	16281	35569
314	16305	35457
315	16329	35345
316	16354	35237
317	16381	35132
318	16408	35029
319	16439	34933
320	16465	34829
321	16494	34729
322	16514	34615
323	16543	34515
324	16567	34409
325	16594	34309
326	16620	34205
327	16650	34113
328	16693	34046
329	16724	33955
330	16758	33871
331	16781	33764
332	16806	33662
333	16831	33561
334	16857	33463
335	16884	33367
336	16913	33275
337	16944	33187
338	16976	33101
339	17011	33022
340	17048	32947
341	17084	32869
342	17122	32797
343	17157	32718
344	17193	32642
345	17239	32585
346	17269	32499
347	17295	32403
348	17320	32308
349	17349	32219
350	17389	32153
351	17435	32097
352	17468	32016
353	17493	31923
354	17522	31837
355	17550	31748
356	17575	31655
357	17602	31565
358	17629	31476
359	17657	31390
360	17684	31302
361	17714	31220
362	17741	31132
363	17767	31044
364	17798	30964
365	17824	30876
366	17851	30791
367	17876	30700
368	17906	30619
369	17944	30553
370	17977	30479
371	18003	30392
372	18033	30314
373	18061	30230
374	18089	30148
375	18116	30065
376	18148	29991
377	18182	29919
378	18212	29841
379	18235	29753
380	18261	29668
381	18283	29579
382	18311	29499
383	18339	29419
384	18363	29333
385	18396	29262
386	18431	29195
387	18464	29124
388	18490	29043
389	18514	28959
390	18546	28887
391	18591	28836
