iter	Passed	Remaining
0	1	630
1	3	855
2	8	1374
3	9	1133
4	9	980
5	11	911
6	12	865
7	13	803
8	13	760
9	14	727
10	15	694
11	16	668
12	18	678
13	19	682
14	20	662
15	21	642
16	22	631
17	23	623
18	24	613
19	25	601
20	25	588
21	26	576
22	27	566
23	28	561
24	31	594
25	32	589
26	33	594
27	35	590
28	37	604
29	38	601
30	39	600
31	42	624
32	45	639
33	46	635
34	47	632
35	48	629
36	49	623
37	50	618
38	52	622
39	55	632
40	56	636
41	58	641
42	60	638
43	61	632
44	62	632
45	64	638
46	67	649
47	68	646
48	69	643
49	70	637
50	72	636
51	74	641
52	75	636
53	76	631
54	77	626
55	79	629
56	80	624
57	81	618
58	82	620
59	86	633
60	87	631
61	88	626
62	89	621
63	90	619
64	91	615
65	93	612
66	94	608
67	96	610
68	101	631
69	104	638
70	105	639
71	106	635
72	107	630
73	108	625
74	110	624
75	112	627
76	115	635
77	117	633
78	119	636
79	124	654
80	127	659
81	129	660
82	130	655
83	131	650
84	132	647
85	134	647
86	136	647
87	138	648
88	139	644
89	140	641
90	142	639
91	143	635
92	144	630
93	144	625
94	145	620
95	146	616
96	147	612
97	149	611
98	149	606
99	150	602
100	151	598
101	152	595
102	153	592
103	154	589
104	155	585
105	156	582
106	157	579
107	158	576
108	160	574
109	161	571
110	162	568
111	162	564
112	163	561
113	165	559
114	166	557
115	167	554
116	168	551
117	169	547
118	170	545
119	171	543
120	174	545
121	174	542
122	175	538
123	176	535
124	177	532
125	178	529
126	179	526
127	180	524
128	181	523
129	184	524
130	186	525
131	187	522
132	188	520
133	190	519
134	192	520
135	193	517
136	194	514
137	195	511
138	196	510
139	199	513
140	200	510
141	201	507
142	202	506
143	203	503
144	206	505
145	212	516
146	213	513
147	216	514
148	217	513
149	218	510
150	219	507
151	220	504
152	221	501
153	222	499
154	223	497
155	224	495
156	226	493
157	227	492
158	228	490
159	229	487
160	230	485
161	231	482
162	232	479
163	233	477
164	233	474
165	235	473
166	236	471
167	237	468
168	238	466
169	259	502
170	270	519
171	291	555
172	292	552
173	312	585
174	313	581
175	314	578
176	315	576
177	316	573
178	317	569
179	318	566
180	319	563
181	320	559
182	321	556
183	322	553
184	323	551
185	324	548
186	325	544
187	326	541
188	328	540
189	329	537
190	330	534
191	331	531
192	332	528
193	333	526
194	335	524
195	336	521
196	339	521
197	343	523
198	344	521
199	345	518
200	346	515
201	348	513
202	349	510
203	349	507
204	350	504
205	351	501
206	353	499
207	354	497
208	355	494
209	356	492
210	360	493
211	361	491
212	362	488
213	363	485
214	364	482
215	365	480
216	366	478
217	368	476
218	369	473
219	370	471
220	371	469
221	372	467
222	373	464
223	374	461
224	375	459
225	376	456
226	377	453
227	378	451
228	379	448
229	380	446
230	381	443
231	382	441
232	383	439
233	384	436
234	385	434
235	387	433
236	388	431
237	390	429
238	393	429
239	394	426
240	395	424
241	397	424
242	399	422
243	400	419
244	401	417
245	402	415
246	406	416
247	407	414
248	408	411
249	410	410
250	411	408
251	412	406
252	414	404
253	417	404
254	418	401
255	419	399
256	420	397
257	422	396
258	425	395
259	426	393
260	428	392
261	429	390
262	430	387
263	431	385
264	432	383
265	433	380
266	434	378
267	435	376
268	436	374
269	437	372
270	438	370
271	438	367
272	439	365
273	441	363
274	442	361
275	443	359
276	443	357
277	444	355
278	445	353
279	446	351
280	447	348
281	448	346
282	449	344
283	450	342
284	451	340
285	451	338
286	452	336
287	453	333
288	454	331
289	455	329
290	456	327
291	457	325
292	458	323
293	459	321
294	460	319
295	460	317
296	462	315
297	462	313
298	463	311
299	464	309
300	465	307
301	467	306
302	470	305
303	472	304
304	474	303
305	475	301
306	476	299
307	477	297
308	478	295
309	478	293
310	479	291
311	480	289
312	481	287
313	482	285
314	483	283
315	485	282
316	486	280
317	487	278
318	488	276
319	489	275
320	490	273
321	491	271
322	491	269
323	492	267
324	493	265
325	494	263
326	495	262
327	496	260
328	497	258
329	498	256
330	499	254
331	499	252
332	500	251
333	503	250
334	504	248
335	504	246
336	505	244
337	506	242
338	507	240
339	508	239
340	509	237
341	510	235
342	512	234
343	514	233
344	516	232
345	517	230
346	518	228
347	521	227
348	523	226
349	523	224
350	524	222
351	525	221
352	527	219
353	528	217
354	529	216
355	530	214
356	531	212
357	533	211
358	534	209
359	534	207
360	535	206
361	536	204
