iter	Passed	Remaining
0	0	490
1	1	576
2	2	669
3	2	721
4	3	754
5	4	736
6	5	724
7	5	713
8	6	705
9	7	697
10	7	694
11	8	702
12	9	705
13	9	703
14	10	701
15	11	699
16	12	696
17	12	694
18	13	691
19	14	692
20	15	699
21	15	696
22	16	695
23	17	694
24	17	694
25	18	693
26	19	693
27	19	691
28	20	693
29	21	694
30	22	693
31	22	692
32	23	691
33	24	690
34	25	689
35	25	688
36	26	688
37	27	687
38	27	685
39	28	683
40	29	682
41	29	680
42	30	679
43	31	682
44	32	687
45	33	697
46	34	700
47	35	699
48	36	698
49	36	697
50	37	695
51	38	693
52	38	691
53	39	691
54	40	693
55	41	692
56	41	691
57	42	690
58	43	689
59	43	688
60	44	687
61	45	685
62	46	690
63	47	691
64	48	690
65	48	689
66	49	688
67	50	686
68	50	685
69	51	683
70	52	682
71	53	684
72	53	683
73	54	682
74	55	678
75	55	676
76	56	675
77	57	674
78	57	672
79	58	672
80	59	672
81	60	672
82	61	674
83	61	674
84	62	674
85	63	673
86	64	672
87	64	671
88	65	671
89	66	671
90	67	669
91	67	669
92	68	667
93	69	666
94	69	665
95	70	663
96	71	663
97	72	663
98	72	662
99	73	661
100	74	659
101	74	658
102	75	658
103	76	657
104	77	656
105	77	652
106	78	654
107	79	654
108	79	652
109	80	651
110	81	650
111	81	649
112	82	648
113	83	646
114	83	645
115	84	646
116	85	645
117	86	644
118	86	643
119	87	643
120	88	641
121	88	640
122	89	638
123	90	639
124	91	643
125	92	643
126	93	643
127	94	643
128	95	642
129	96	643
130	96	642
131	97	643
132	98	642
133	99	641
134	100	641
135	100	640
136	101	639
137	102	638
138	102	637
139	103	636
140	104	635
141	105	636
142	106	635
143	106	634
144	107	633
145	108	632
146	108	631
147	109	630
148	110	630
149	111	629
150	111	628
151	112	626
152	113	625
153	113	624
154	114	623
155	115	622
156	115	621
157	116	620
158	117	619
159	117	618
160	118	617
161	119	616
162	120	616
163	120	615
164	121	614
165	122	613
166	122	612
167	123	612
168	124	611
169	125	610
170	125	609
171	126	607
172	126	607
173	127	605
174	128	604
175	128	603
176	129	603
177	130	602
178	131	601
179	131	600
180	132	599
181	133	598
182	133	597
183	134	596
184	135	595
185	136	595
186	136	595
187	137	594
188	138	593
189	138	592
190	139	590
191	140	590
192	140	588
193	141	588
194	142	588
195	143	587
196	144	587
197	144	585
198	145	584
199	145	583
200	146	582
201	147	581
202	148	581
203	149	581
204	149	581
205	150	581
206	151	580
207	152	579
208	153	579
209	153	578
210	154	577
211	155	577
212	156	576
213	156	575
214	157	574
215	158	574
216	158	573
217	159	571
218	160	571
219	160	570
220	161	570
221	162	569
222	163	568
223	163	568
224	164	567
225	165	566
226	166	565
227	166	564
228	167	563
229	168	562
230	168	562
231	169	561
232	170	560
233	170	559
234	171	558
235	172	557
236	172	556
237	173	556
238	174	555
239	175	554
240	175	553
241	176	553
242	177	552
243	178	551
244	178	550
245	179	550
246	180	549
247	181	548
248	181	548
249	182	547
250	183	546
251	183	545
252	184	544
253	184	543
254	185	542
255	186	541
256	187	540
257	187	540
258	188	539
259	189	538
260	190	538
261	190	537
262	191	536
263	192	535
264	192	534
265	193	534
266	194	533
267	194	532
268	195	531
269	196	530
270	196	529
271	197	529
272	198	528
273	198	527
274	199	526
275	200	525
276	201	525
277	201	524
278	202	523
279	203	522
280	203	521
281	204	520
282	205	520
283	206	519
284	206	519
285	207	518
286	208	517
287	209	517
288	209	516
289	210	516
290	211	515
291	212	514
292	213	514
293	214	514
294	214	513
295	215	512
296	216	512
297	217	511
298	217	510
299	218	510
300	219	509
301	220	509
302	221	508
303	221	508
304	222	507
305	223	506
306	224	506
307	224	505
308	225	504
309	226	504
310	227	503
311	228	502
312	228	502
313	229	501
314	230	500
315	230	499
316	231	499
317	232	499
318	233	498
319	234	497
320	234	497
321	235	496
322	236	495
323	237	494
324	237	493
325	238	493
326	239	492
327	239	491
328	240	490
329	241	489
330	241	488
331	242	488
332	243	487
333	243	486
334	244	485
335	245	484
336	246	484
337	246	483
338	247	482
339	248	481
340	248	480
341	249	480
342	250	479
343	251	478
344	251	478
345	252	477
346	253	476
347	254	476
348	254	475
349	255	474
350	256	473
