task_response_id;match_id;evaluator_id;player_id;potential_label
4915;62935;177676;1361061;average
4915;62935;177676;1361626;highlighted
4915;62935;177676;1361858;average
4915;62935;177676;1362220;highlighted
4915;62935;177676;1364951;highlighted
4915;62935;177676;1364969;average
4915;62935;177676;1369055;average
4915;62935;177676;1369060;average
4915;62935;177676;1369065;highlighted
4915;62935;177676;1369067;average
4915;62935;177676;1369101;average
4915;62935;177676;1370976;average
4915;62935;177676;1586351;highlighted
4919;62935;186987;1369345;highlighted
4919;62935;186987;1369361;below_average
4919;62935;186987;1369362;average
4919;62935;186987;1369369;average
4919;62935;186987;1369377;average
4919;62935;186987;1369388;average
4919;62935;186987;1369389;average
4919;62935;186987;1369390;average
4919;62935;186987;1369393;highlighted
4919;62935;186987;1369397;average
4919;62935;186987;1906240;average
4929;62944;151191;1362468;average
4929;62944;151191;1364697;average
4929;62944;151191;1366311;average
4929;62944;151191;1371144;highlighted
4929;62944;151191;1371149;average
4929;62944;151191;1371159;average
4929;62944;151191;1371160;average
4929;62944;151191;1371171;average
4929;62944;151191;1614690;average
4929;62944;151191;1906234;highlighted
4929;62944;151191;1907330;average
4931;62944;173255;1358179;average
4931;62944;173255;1358274;highlighted
4931;62944;173255;1361080;average
4931;62944;173255;1361084;highlighted
4931;62944;173255;1361085;average
4931;62944;173255;1361221;highlighted
4931;62944;173255;1361427;average
4931;62944;173255;1369855;average
4931;62944;173255;1370839;highlighted
4931;62944;173255;1370872;average
4931;62944;173255;1370884;average
4935;62988;177676;1717697;average
4935;62988;177676;1717698;average
4935;62988;177676;1717699;average
4935;62988;177676;1717700;average
4935;62988;177676;1717701;highlighted
4935;62988;177676;1717702;average
4935;62988;177676;1717705;average
4935;62988;177676;1717706;highlighted
4935;62988;177676;1717707;average
4935;62988;177676;1717709;highlighted
4935;62988;177676;1721878;highlighted
4970;62988;132337;1718222;average
4970;62988;132337;1718638;average
4970;62988;132337;1718641;average
4970;62988;132337;1718690;average
4970;62988;132337;1719053;average
4970;62988;132337;1719627;average
4970;62988;132337;1719653;average
4970;62988;132337;1719681;average
4970;62988;132337;1720051;average
4970;62988;132337;1720473;average
4970;62988;132337;1720543;average
4970;62988;132337;1720834;average
4970;62988;132337;1720857;average
4997;63058;177676;1776191;average
4997;63058;177676;1780526;average
4997;63058;177676;1785506;average
4997;63058;177676;1785962;average
4997;63058;177676;1785963;average
4997;63058;177676;1786902;average
4997;63058;177676;1796354;highlighted
4997;63058;177676;1799003;average
4997;63058;177676;1800932;average
4997;63058;177676;1803187;average
4997;63058;177676;1805001;highlighted
5003;63058;141254;1779536;average
5003;63058;141254;1782377;average
5003;63058;141254;1783053;average
5003;63058;141254;1783081;average
5003;63058;141254;1785482;highlighted
5003;63058;141254;1785487;average
5003;63058;141254;1786316;below_average
5003;63058;141254;1786320;average
5003;63058;141254;1786330;average
5003;63058;141254;1786333;average
5005;63061;256441;1818218;highlighted
5005;63061;256441;1818252;average
5005;63061;256441;1818318;average
5005;63061;256441;1833737;average
5005;63061;256441;1834844;highlighted
5005;63061;256441;1835391;average
5005;63061;256441;1836231;average
5005;63061;256441;1841069;highlighted
5005;63061;256441;1842322;average
5006;63061;141254;1823113;average
5006;63061;141254;1825608;highlighted
5006;63061;141254;1829963;highlighted
5006;63061;141254;1844969;average
5006;63061;141254;1909532;average
5035;63166;160289;1362468;highlighted
5035;63166;160289;1364697;average
5035;63166;160289;1371143;average
5035;63166;160289;1371149;highlighted
5035;63166;160289;1371152;average
5035;63166;160289;1371159;average
5035;63166;160289;1371160;highlighted
5035;63166;160289;1371171;average
5035;63166;160289;1371178;average
5035;63166;160289;1371190;average
5035;63166;160289;1614690;highlighted
5035;63166;160289;1906234;average
5035;63166;160289;1907330;highlighted
5036;63166;132337;1356375;average
5036;63166;132337;1356378;below_average
5036;63166;132337;1356411;average
5036;63166;132337;1356422;average
5036;63166;132337;1361007;average
5036;63166;132337;1367714;average
5036;63166;132337;1370742;average
5036;63166;132337;1378444;average
5036;63166;132337;1906235;average
5036;63166;132337;1906237;highlighted
5036;63166;132337;1907347;average
5119;63406;151191;1356362;average
5119;63406;151191;1356375;average
5119;63406;151191;1356411;average
5119;63406;151191;1361007;highlighted
5119;63406;151191;1367714;average
5119;63406;151191;1367745;average
5119;63406;151191;1378444;average
5119;63406;151191;1380175;average
5119;63406;151191;1906235;average
5119;63406;151191;1906237;highlighted
5119;63406;151191;1907347;average
5156;63032;160289;1359405;average
5156;63032;160289;1364500;average
5156;63032;160289;1367538;average
5156;63032;160289;1367544;highlighted
5156;63032;160289;1367560;average
5156;63032;160289;1367566;highlighted
5156;63032;160289;1367596;average
5156;63032;160289;1367609;average
5156;63032;160289;1367615;average
5156;63032;160289;1367625;average
5156;63032;160289;1369061;highlighted
5156;63032;160289;1373419;average
5162;63406;151191;1362219;highlighted
5162;63406;151191;1363271;average
5162;63406;151191;1372639;highlighted
5162;63406;151191;1372662;average
5162;63406;151191;1372673;average
5162;63406;151191;1372675;average
5162;63406;151191;1372678;average
5162;63406;151191;1372695;average
5162;63406;151191;1372696;average
5162;63406;151191;1372700;average
5162;63406;151191;1909724;highlighted
5259;63627;151191;1372639;average
5259;63627;151191;1372656;average
5259;63627;151191;1372660;average
5259;63627;151191;1372666;average
5259;63627;151191;1372670;average
5259;63627;151191;1372673;average
5259;63627;151191;1372675;average
5259;63627;151191;1372676;average
5259;63627;151191;1372678;highlighted
5259;63627;151191;1372696;average
5259;63627;151191;1400463;average
5314;63627;135624;1358072;average
5314;63627;135624;1361390;average
5314;63627;135624;1361552;average
5314;63627;135624;1372336;highlighted
5314;63627;135624;1372346;average
5314;63627;135624;1372359;average
5314;63627;135624;1372384;average
5314;63627;135624;1372393;average
5314;63627;135624;1372427;average
5314;63627;135624;1376343;average
5314;63627;135624;1414202;average
5314;63627;135624;1498208;average
5319;63696;256441;1355710;average
5319;63696;256441;1360989;average
5319;63696;256441;1361061;average
5319;63696;256441;1361626;average
5319;63696;256441;1362220;average
5319;63696;256441;1364951;average
5319;63696;256441;1369060;average
5319;63696;256441;1369064;average
5319;63696;256441;1369065;average
5319;63696;256441;1370976;average
5319;63696;256441;1586351;average
5440;63930;256441;1377237;highlighted
5440;63930;256441;1377238;highlighted
5440;63930;256441;1377244;average
5440;63930;256441;1377247;average
5440;63930;256441;1377253;average
5440;63930;256441;1377254;average
5440;63930;256441;1377267;highlighted
5440;63930;256441;1377276;average
5440;63930;256441;1377286;average
5440;63930;256441;1377310;average
5440;63930;256441;1377325;average
5440;63930;256441;1377333;highlighted
5440;63930;256441;1599652;average
5440;63930;256441;1599670;average
5465;63862;256441;1358124;average
5465;63862;256441;1364943;highlighted
5465;63862;256441;1368187;average
5465;63862;256441;1368237;average
5465;63862;256441;1368259;highlighted
5465;63862;256441;1368269;average
5465;63862;256441;1368304;average
5465;63862;256441;1368370;average
5465;63862;256441;1368804;average
5465;63862;256441;1377312;average
5465;63862;256441;1598367;average
5523;60549;256441;1716957;average
5523;60549;256441;1716958;average
5523;60549;256441;1716959;average
5523;60549;256441;1716960;average
5523;60549;256441;1716961;average
5523;60549;256441;1716962;highlighted
5523;60549;256441;1716963;average
5523;60549;256441;1716964;highlighted
5523;60549;256441;1716965;average
5523;60549;256441;1716966;average
5523;60549;256441;1716967;average
5524;63178;151191;1359349;highlighted
5524;63178;151191;1359355;average
5524;63178;151191;1359357;average
5524;63178;151191;1359389;highlighted
5524;63178;151191;1359390;average
5524;63178;151191;1359394;average
5524;63178;151191;1359398;average
5524;63178;151191;1359409;average
5524;63178;151191;1369191;average
5524;63178;151191;1369198;average
5524;63178;151191;1380348;average
5527;64045;151191;1361549;highlighted
5527;64045;151191;1362228;average
5527;64045;151191;1363266;average
5527;64045;151191;1366350;average
5527;64045;151191;1367734;average
5527;64045;151191;1367746;average
5527;64045;151191;1367783;average
5527;64045;151191;1369525;highlighted
5527;64045;151191;1369546;average
5527;64045;151191;1370994;average
5527;64045;151191;1438737;average
5579;63556;151191;1793611;average
5579;63556;151191;1797237;average
5579;63556;151191;1799631;highlighted
5579;63556;151191;1799632;average
