iter	Passed	Remaining
0	5	2702
1	11	2872
2	17	2978
3	22	2796
4	28	2795
5	32	2699
6	39	2751
7	43	2696
8	49	2706
9	54	2690
10	60	2700
11	65	2656
12	71	2679
13	76	2652
14	80	2591
15	86	2622
16	92	2619
17	100	2679
18	105	2662
19	109	2635
20	115	2623
21	122	2656
22	126	2617
23	133	2656
24	141	2691
25	146	2668
26	152	2669
27	155	2628
28	159	2588
29	164	2571
30	169	2564
31	172	2525
32	175	2488
33	179	2461
34	183	2432
35	185	2392
36	188	2357
37	191	2332
38	196	2326
39	201	2312
40	207	2317
41	211	2309
42	215	2295
43	219	2275
44	223	2264
45	228	2250
46	232	2245
47	236	2231
48	240	2213
49	245	2211
50	249	2195
51	253	2182
52	256	2160
53	260	2148
54	263	2134
55	266	2116
56	270	2101
57	273	2084
58	277	2077
59	281	2063
60	284	2050
61	287	2034
62	293	2032
63	296	2022
64	300	2009
65	303	1999
66	308	1991
67	313	1992
68	319	1998
69	336	2065
70	349	2109
71	353	2103
72	359	2105
73	364	2098
74	369	2092
75	382	2134
76	387	2128
77	393	2127
78	396	2113
79	401	2108
80	406	2100
81	410	2092
82	414	2084
83	420	2081
84	423	2069
85	429	2068
86	434	2063
87	442	2071
88	446	2061
89	450	2053
90	456	2051
91	460	2044
92	464	2034
93	469	2028
94	474	2024
95	478	2013
96	482	2005
97	487	2000
98	491	1992
99	496	1984
100	499	1973
101	504	1967
102	508	1960
103	512	1952
104	518	1952
105	528	1964
106	539	1982
107	548	1989
108	558	2003
109	566	2007
110	571	2004
111	576	1995
112	579	1984
113	583	1974
114	588	1970
115	592	1959
116	595	1950
117	599	1940
118	604	1936
119	608	1926
120	612	1918
121	618	1915
122	623	1912
123	627	1903
124	631	1895
125	637	1892
126	641	1883
127	645	1874
128	648	1865
129	654	1862
130	658	1854
131	661	1844
132	665	1837
133	669	1829
134	673	1820
135	676	1811
136	680	1803
137	685	1798
138	688	1789
139	693	1782
140	696	1773
141	702	1770
142	706	1762
143	708	1752
144	713	1746
145	719	1744
146	724	1738
147	728	1732
148	733	1728
149	738	1723
150	743	1718
151	751	1720
152	755	1714
153	761	1711
154	769	1712
155	774	1708
156	782	1710
157	788	1707
158	793	1701
159	800	1700
160	804	1694
161	808	1686
162	812	1680
163	818	1676
164	821	1668
165	824	1659
166	828	1651
167	832	1644
168	838	1642
169	842	1635
170	848	1631
171	851	1624
172	855	1617
173	859	1609
174	864	1605
175	869	1600
176	873	1593
177	877	1587
178	881	1581
179	884	1573
180	888	1565
181	891	1557
182	896	1552
183	899	1544
184	902	1537
185	905	1529
186	909	1522
187	913	1515
188	916	1508
189	919	1500
190	922	1492
191	927	1487
192	930	1480
193	933	1473
194	937	1465
195	940	1458
196	944	1452
197	946	1443
198	949	1436
199	952	1429
200	956	1422
201	960	1416
202	964	1410
203	967	1403
204	971	1397
205	975	1392
206	978	1385
207	982	1378
208	985	1372
209	989	1365
210	996	1365
211	1002	1361
212	1007	1357
213	1013	1354
214	1018	1350
215	1022	1344
216	1026	1338
217	1030	1332
218	1033	1326
219	1037	1320
220	1041	1315
221	1046	1310
222	1050	1305
223	1054	1298
224	1061	1297
225	1066	1292
226	1074	1292
227	1079	1287
228	1084	1283
229	1090	1280
230	1096	1276
231	1100	1271
232	1106	1268
233	1111	1263
234	1115	1257
235	1119	1252
236	1125	1248
237	1130	1244
238	1133	1238
239	1140	1235
240	1145	1231
241	1150	1226
242	1157	1223
243	1162	1219
244	1166	1214
245	1172	1210
246	1180	1209
247	1185	1205
248	1191	1201
249	1196	1196
250	1202	1193
251	1208	1189
252	1213	1185
253	1222	1184
254	1229	1181
255	1235	1177
256	1242	1175
257	1248	1171
258	1257	1169
259	1262	1165
260	1269	1162
261	1274	1157
262	1279	1152
263	1287	1150
264	1293	1146
265	1297	1141
266	1304	1138
267	1308	1132
268	1313	1127
269	1318	1122
270	1324	1119
271	1328	1113
272	1334	1109
273	1339	1104
274	1343	1099
275	1350	1096
276	1356	1091
277	1361	1087
278	1369	1084
279	1375	1080
280	1380	1075
281	1385	1071
282	1390	1066
283	1395	1061
284	1401	1057
285	1405	1051
286	1412	1048
287	1418	1044
288	1423	1039
289	1427	1033
290	1432	1028
291	1436	1023
292	1440	1017
293	1444	1012
294	1450	1007
295	1454	1002
296	1459	997
297	1464	992
298	1468	987
299	1472	981
300	1476	975
301	1481	971
302	1484	965
303	1489	960
304	1493	954
305	1498	950
306	1504	945
307	1509	940
308	1516	937
309	1522	932
310	1528	928
311	1532	923
312	1535	917
313	1539	911
314	1544	907
315	1551	903
316	1558	899
317	1563	894
318	1569	890
319	1575	886
320	1580	881
321	1585	876
322	1592	872
323	1598	868
324	1604	863
325	1609	858
326	1614	854
327	1618	848
328	1622	843
329	1626	837
330	1630	832
331	1634	826
332	1639	822
333	1645	817
334	1649	812
335	1654	807
336	1660	803
337	1664	797
338	1670	793
339	1675	788
340	1680	783
341	1683	777
342	1687	772
343	1696	769
344	1700	764
345	1704	758
346	1709	753
347	1713	748
348	1716	742
349	1720	737
350	1726	733
