master_id,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,recency,tenure,segment,order_channel,last_order_channel,first_order_date,last_order_date,last_order_date_online,last_order_date_offline,interested_in_categories_12
cc294636-19f0-11eb-8d74-000d3a38a36f,4.0,1.0,139.99,799.38,95.0,119.0,6,Android App,Offline,2020-10-30,2021-02-26,2021-02-21,2021-02-26,[KADIN]
f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,19.0,2.0,159.97,1853.58,105.0,1469.0,6,Android App,Mobile,2017-02-08,2021-02-16,2021-02-16,2020-01-10,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
69b69676-1a40-11ea-941b-000d3a38a36f,3.0,2.0,189.97,395.35,186.0,366.0,6,Android App,Android App,2019-11-27,2020-11-27,2020-11-27,2019-12-01,"[ERKEK, KADIN]"
cfbda69e-5b4f-11ea-aca7-000d3a38a36f,3.0,2.0,120.48,934.21,86.0,409.0,6,Android App,Android App,2020-01-23,2021-03-07,2021-03-07,2020-01-25,"[ERKEK, COCUK, KADIN]"
13ed97a4-b167-11e9-89fa-000d3a38a36f,7.0,1.0,112.97,819.39,288.0,431.0,6,Mobile,Desktop,2019-06-13,2020-08-17,2020-08-17,2020-07-28,"[AKTIFCOCUK, COCUK, KADIN]"
fb840306-1219-11ea-a001-000d3a38a36f,7.0,1.0,89.99,833.65,116.0,384.0,6,Ios App,Ios App,2020-01-18,2021-02-05,2021-02-05,2020-01-18,"[ERKEK, KADIN, AKTIFSPOR]"
280cd78c-f324-11e9-9346-000d3a38a36f,4.0,1.0,49.99,476.88,158.0,674.0,6,Android App,Android App,2019-02-20,2020-12-25,2020-12-25,2019-02-20,"[ERKEK, AKTIFSPOR]"
6e47c6c2-4f49-11ea-99ba-000d3a38a36f,5.0,1.0,99.99,999.9,187.0,358.0,6,Android App,Android App,2019-12-04,2020-11-26,2020-11-26,2019-12-04,"[KADIN, AKTIFSPOR]"
6a46e618-16f8-11ea-b4ec-000d3a38a36f,12.0,3.0,410.46,2519.88,322.0,244.0,6,Android App,Offline,2019-11-13,2020-07-14,2020-07-13,2020-07-14,[AKTIFSPOR]
a9acbdcc-a872-11e9-a2fc-000d3a38a36f,4.0,1.0,70.49,721.2,303.0,1680.0,6,Desktop,Offline,2015-12-27,2020-08-02,2018-11-02,2020-08-02,[KADIN]
d875bb04-4539-11ea-acaf-000d3a38a36f,6.0,1.0,254.97,610.92,104.0,461.0,6,Android App,Android App,2019-11-14,2021-02-17,2021-02-17,2019-11-14,[AKTIFSPOR]
b4e68f92-a534-11e9-a2fc-000d3a38a36f,6.0,1.0,79.98,657.12,125.0,968.0,6,Android App,Android App,2018-06-04,2021-01-27,2021-01-27,2019-03-17,[AKTIFSPOR]
fa4d1ac8-abd9-11e9-a2fc-000d3a38a36f,3.0,1.0,179.98,270.98,194.0,1315.0,6,Android App,Mobile,2017-04-14,2020-11-19,2020-11-19,2019-12-01,[AKTIFSPOR]
3af86bfe-5459-11ea-b1db-000d3a38a36f,3.0,1.0,149.99,1301.56,257.0,267.0,6,Android App,Android App,2019-12-25,2020-09-17,2020-09-17,2019-12-25,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
6fcc04d0-3050-11ea-bb28-000d3a38a36f,4.0,2.0,271.46,533.94,225.0,337.0,6,Mobile,Offline,2019-11-17,2020-10-19,2020-06-30,2020-10-19,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
7d58deb6-62fa-11ea-a6dc-000d3a38a36f,7.0,1.0,139.99,1231.46,190.0,1623.0,6,Mobile,Mobile,2016-06-14,2020-11-23,2020-11-23,2019-11-16,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
0efc89ac-9f16-11e9-9897-000d3a38a36f,4.0,1.0,192.98,653.37,99.0,587.0,6,Android App,Android App,2019-07-16,2021-02-22,2021-02-22,2019-07-16,[COCUK]
